_id,name,slug,modelName,modelSlug,brandSlug,status,fuel-type,power-hp,torque-nm,clutch-type,emission-norm,engine-capacity-cc,engine-type,gearbox,transmission-type,number-of-cylinders,rpm,no-of-reverse-gears,cooling-type,motor-type,no-of-cng-cylinders,engine-model,max-speed-km-h,gradeability,mileage,driving-range-km-charge,real-world-range-km-charge,battery-type,battery-warranty,cabin-type,turning-radius-mm,chassis-type,front-suspension,rear-suspension,tiltable-cabin,gross-vehicle-weight-kg,length-mm,height-mm,wheelbase-mm,ground-clearance-mm,fuel-tank-capacity-ltr,kerb-weight-kg,payload-kg,width-mm,battery-capacity-kwh,cargo-body-length-mm,cargo-body-width-mm,cargo-body-height-mm,front-tyre-size,number-of-tyres,rear-tyre-size,front-brake-type,rear-brake-type,tyre-type,front-rim-size,rear-rim-size,charger-type,ac-charging-time,dc-fast-charging-time,battery-swapping,adjustable-driver-seat,cruise-control,cruise-control-desc,seat-type,arm-rest,driver-information-display,driver-information-display-desc,tiltable-steering,navigation-system,navigation-system-desc,seating-capacity,air-conditioner,fog-lamps,no-of-fog-lamps,mobile-charging-point,infotainment-system,infotainment-system-desc,headlamps,drive-modes,no-of-seat-belts,gps-tracking,fuel-monitoring-system,digital-instrument-cluster,size-of-the-digital-instrument-cluster,driver-seat-belt-reminder,telematics,telematics-desc,hill-hold-assist,hill-hold-assist-desc,abs,adas,adas-desc,dashcam,tyre-pressure-monitoring-system,speed-limit-device,reverse-parking-alert,blind-spot-mirror,electronics-stability-control,no-of-airbags,lane-departure-warning,autonomous-emergency-braking,collision-mitigation-system,driver-monitoring-camera,camera-360-degree
6756e7a14054c5f3bc2284a4,3360/CBC,3360-cbc,1015R,1015r,bharat-benz,expired,Diesel,147,460,330 mm Single dry plate hydraulic actuated,BS VI,3900,4D34i,6-Speed,Manual,4,,,,,,,80,24.38,,,,,,Day Cabin,13400,C-Chassis,Multileaf spring,Multileaf spring,,10600,6380,2420,3360,205,171,,,,,,,,8.25 x 16,6,8.25 x 16,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6756e7a54054c5f3bc2284a5,3760/CBC,3760-cbc,1015R,1015r,bharat-benz,expired,Diesel,147,460,330 mm Single dry plate hydraulic actuated,BS VI,3900,4D34i,6-Speed,Manual,4,,,,,,,80,24.38,,,,,,Day Cabin,13800,C-Chassis,Multileaf spring,Multileaf spring,,10600,6985,2420,3760,205,215,,,,,,,,8.25 x 16,6,8.25 x 16,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6756e7aa4054c5f3bc2284a6,4250/CBC,4250-cbc,1015R,1015r,bharat-benz,expired,Diesel,147,460,330 mm Single dry plate hydraulic actuated,BS VI,3900,4D34i,6-Speed,Manual,4,,,,,,,80,27.76,,,,,,Day Cabin,15700,C-Chassis,Multileaf spring,Multileaf spring,,10600,7950,2420,4250,205,215,,,,,,,,235/75R17.5,6,235/75R17.5,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6756e7af4054c5f3bc2284a7,4800/CBC,4800-cbc,1015R,1015r,bharat-benz,expired,Diesel,147,460,330 mm Single dry plate hydraulic actuated,BS VI,3900,4D34i,6-Speed,Manual,4,,,,,,,80,27.76,,,,,,Day Cabin,17600,C-Chassis,Multileaf spring,Multileaf spring,,10600,8195,2420,4800,205,215,,,,,,,,235/75R17.5,6,235/75R17.5,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6756e7b34054c5f3bc2284a8,4250/CBC,4250-cbc,1215R,1215r,bharat-benz,expired,Diesel,147,460,362 mm Single dry plate hydraulic actuated,BS VI,3900,4D34i,6-Speed,Manual,4,,,,,,,80,37.77,,,,,,Day Cabin,7850,C-Chassis,Multileaf spring,Multileaf spring,,11990,8030,2500,4250,245,215,,,,,,,,8.25 X 20,6,8.25 X 20,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6756e7b74054c5f3bc2284a9,4800/CBC,4800-cbc,1215R,1215r,bharat-benz,expired,Diesel,147,460,362 mm Single dry plate hydraulic actuated,BS VI,3900,4D34i,6-Speed,Manual,4,,,,,,,80,26.7,,,,,,Day Cabin,8800,C-Chassis,Multileaf spring,Multileaf spring,,11990,8580,2500,4800,245,215,,,,,,,,8.25 X 20,6,8.25 X 20,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6756e7bb4054c5f3bc2284aa,5050/CBC,5050-cbc,1215R,1215r,bharat-benz,expired,Diesel,147,460,362 mm Single dry plate hydraulic actuated,BS VI,3900,4D34i,6-Speed,Manual,4,,,,,,,80,26.7,,,,,,Day Cabin,9850,C-Chassis,Multileaf spring,Multileaf spring,,11990,9295,2500,5050,245,215,,,,,,,,8.25 X 20,6,8.25 X 20,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6756e7c14054c5f3bc2284ab,3360/CBC,3360-cbc,1215RE,1215re,bharat-benz,expired,Diesel,147,460,"Single dry plate, Hydraulic control 362",BS VI,3900,4D34i,6-Speed,Manual,4,,,,,,,80,24.26,,,,,,Day Cabin,6700,C-Chassis,Multileaf spring,Multileaf spring,,12800,6380,2500,3360,245,171,,,,,,,,8.25 X 20,6,8.25 X 20,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6756e7c64054c5f3bc2284ac,3760/CBC,3760-cbc,1215RE,1215re,bharat-benz,expired,Diesel,147,460,"Single dry plate, Hydraulic control 362",BS VI,3900,4D34i,6-Speed,Manual,4,,,,,,,80,24.26,,,,,,Day Cabin,6900,C-Chassis,Multileaf spring,Multileaf spring,,12800,7075,2500,3760,245,215,,,,,,,,8.25 X 20,6,8.25 X 20,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6756e7cb4054c5f3bc2284ad,4250/CBC,4250-cbc,1215RE,1215re,bharat-benz,expired,Diesel,147,460,"Single dry plate, Hydraulic control 362",BS VI,3900,4D34i,6-Speed,Manual,4,,,,,,,80,24.13,,,,,,Day Cabin,7850,C-Chassis,Multileaf spring,Multileaf spring,,13000,8030,2500,4250,245,215,,,,,,,,8.25R20,6,8.25R20,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6756e7cf4054c5f3bc2284ae,4800/CBC,4800-cbc,1215RE,1215re,bharat-benz,expired,Diesel,147,460,"Single dry plate, Hydraulic control 362",BS VI,3900,4D34i,6-Speed,Manual,4,,,,,,,80,24.13,,,,,,Day Cabin,8800,C-Chassis,Multileaf spring,Multileaf spring,,13000,8580,2500,4800,245,215,,,,,,,,8.25R20,6,8.25R20,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6756e7d44054c5f3bc2284af,5050/CBC,5050-cbc,1215RE,1215re,bharat-benz,expired,Diesel,147,460,"Single dry plate, Hydraulic control 362",BS VI,3900,4D34i,6-Speed,Manual,4,,,,,,,80,24.26,,,,,,Day Cabin,6700,C-Chassis,Multileaf spring,Multileaf spring,,12800,6380,2500,5050,245,215,,,,,,,,8.25 X 20,6,8.25 X 20,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
